complain vi.抱怨，拆苦；控告 
complaint n.抱怨；怨言；控告 
complete a.完整的；完成的 
completely ad.十分，完全地 
complex a.结合的；复杂的 
complicate vt.使复杂；使陷入 
complicated a.复杂的，难懂的 
component n.组成部分；分；组件 
compose vt.组成，构成；创作 
composition n.构成；作品；写作 
compound n.化合物；复合词 
comprehension n.理解；领悟 
comprehensive a.广泛的；理解的 
compress vt.压紧，压缩 
comprise vt.包含，包括；构成 
compromise n.妥协，和解 
compute vt.计算，估计，估算 
computer n.计算机，电脑 
comrade n.同志，亲密的同伴 
conceal vt.把…隐藏起来 
concentrate vt.集中；聚集；浓缩 
concentration n.集中；专注；浓缩 
concept n.概念，观念，设想 
concern n.关心，挂念；关系 
concerning prep.关于 
concert n.音乐会，演奏会 
conclude vt.推断出；结束 
conclusion n.结论，推论；结尾 
concrete n.混凝土；具体物 
condemn vt.谴责，指责；判刑 
condense vt.压缩，使缩短 
condition n.状况，状态；环境 
conduct n.举止，行为；指导 
conductor n.售票员；(乐队)指挥 
conference n.会议，讨论会 
confess vt.供认，承认；坦白 
confidence n.信任；信赖；信心 
confident n.确信的，自信的 
confine vt.限制；禁闭 
confirm vt.证实，肯定；批准 
conflict n.争论；冲突；斗争 
confuse vt.使混乱，混淆 
confusion n.混乱；骚乱；混淆 
congratulate vt.祝贺，向…道喜 
congratulation n.祝贺；祝贺词 
congress n.大会；国会，议会 
conjunction n.接合，连接；连接词 
connect vt.连接，连结；联系 
connection n.连接，联系；连贯性 
conquer vt.征服，战胜；破除 
conquest n.攻取，征服；克服 
conscience n.良心，道德心 
conscious a.意识到的；有意的 
consciousness n.意识，觉悟；知觉 
consent n.同意，赞成 vi.同意 
consequence n.结果，后果 
consequently ad.因此，因而，所以 
conservation n.保存，保护；守恒 
conservative a.保守的 n.保守的人 
consider vt.认为；考虑；关心 
considerable a.相当大的；重要的 
considerate a.考虑周到的；体谅的 
consideration n.考虑，思考；体贴 
consist vi.由…组成；在于 
consistent a.坚持的，一贯的 
constant a.经常的；永恒的 
constitution n.章程；体质；构造 
construct vt.建造；建设；构筑 
construction n.建造；建筑；建筑物 
consult vt.请教，查阅 
consume vt.消耗，消费；消灭 
consumption n.消耗量；消耗 
contact vt.使接触；与…联系 
contain vt.包含，容纳；等于 
container n.容器；集装箱 
contemporary a.当代的，同时代的 
contempt n.轻蔑；藐视；受辱 
content n.内容，目录；容量  a.满意的，满足的 
contest vt.争夺，争取；辩驳 
continent n.大陆；陆地；洲 
continual a.不断的；连续的 
continue vt.继续，连续；延伸 
continuous a.连续不断的，持续的 
contract n.契约，合同；婚约 
contradiction n.矛盾，不一致；否认 
contrary a.相反的 n.相反 
contrast n.对比，对照，悬殊 
contribute vt.捐献，捐助；投稿 
control vt.控制，克制 n.控制 
convenience n.便利，方便；厕所 
convenient a.便利的；近便的 
convention n.习俗，惯例；公约 
conventional a.普通的；习惯的 
conversation n.会话，非正式会谈 
conversely ad.相反地 
conversion n.转变，转化；改变 
convert vt.使转变；使改变 
